0.000641877, 0.000216899, 9.64727e-05, 5.37681e-05, 
3.41533e-05, 2.35852e-05, 1.72564e-05, 1.31708e-05, 1.03813e-05, 
8.39289e-06, 6.92572e-06, 5.81235e-06, 4.94751e-06, 4.26236e-06, 
3.71035e-06, 3.25908e-06, 2.88544e-06, 2.57259e-06, 2.30801e-06, 
2.08227e-06, 1.88811e-06, 1.71991e-06, 1.57323e-06, 1.44455e-06, 
1.33104e-06, 1.23041e-06, 1.14078e-06, 1.0606e-06, 9.8859e-07, 
9.23673e-07, 8.64949e-07, 8.11654e-07, 7.63138e-07, 7.18848e-07, 
6.78304e-07, 6.41098e-07, 6.06872e-07, 5.75316e-07, 5.46159e-07, 
5.19164e-07, 4.94123e-07, 4.70851e-07, 4.49186e-07, 4.28983e-07, 
4.10113e-07, 3.92461e-07, 3.75925e-07, 3.60413e-07, 3.45842e-07, 
3.32137e-07, 3.19231e-07, 3.07063e-07, 2.95577e-07, 2.84725e-07, 
2.74459e-07, 2.64739e-07, 2.55526e-07, 2.46786e-07, 2.38487e-07, 
2.306e-07, 2.23101e-07, 2.15962e-07, 2.09161e-07, 2.02676e-07, 
1.96487e-07, 1.90578e-07, 1.84932e-07, 1.79533e-07, 1.74367e-07, 
1.6942e-07, 1.64682e-07, 1.60139e-07, 1.55781e-07, 1.516e-07, 
1.47584e-07, 1.43726e-07, 1.40017e-07, 1.3645e-07, 1.33017e-07, 
1.29712e-07, 1.26529e-07, 1.23462e-07, 1.20505e-07, 1.17653e-07, 
1.14901e-07, 1.12244e-07, 1.09679e-07, 1.072e-07, 1.04805e-07, 
1.02489e-07, 1.00249e-07, 9.80812e-08, 9.59833e-08, 9.3952e-08, 
9.19844e-08, 9.00781e-08, 8.82304e-08, 8.64389e-08, 8.47015e-08, 
8.30159e-08, 8.13802e-08, 7.97923e-08, 7.82505e-08, 7.67529e-08, 
7.52979e-08, 7.38839e-08, 7.25093e-08, 7.11728e-08, 6.98729e-08, 
6.86082e-08, 6.73776e-08, 6.61798e-08, 6.50137e-08, 6.38781e-08, 
6.2772e-08, 6.16944e-08, 6.06443e-08, 5.96208e-08, 5.86229e-08, 
5.765e-08, 5.6701e-08, 5.57753e-08, 5.48721e-08, 5.39906e-08, 
5.31302e-08, 5.22902e-08, 5.147e-08, 5.06689e-08, 4.98864e-08, 
4.91219e-08, 4.83748e-08, 4.76446e-08, 4.69308e-08, 4.6233e-08, 
4.55506e-08, 4.48832e-08, 4.42304e-08, 4.35917e-08, 4.29667e-08, 
4.23551e-08, 4.17564e-08, 4.11704e-08, 4.05966e-08, 4.00347e-08, 
3.94844e-08, 3.89454e-08, 3.84173e-08, 3.78999e-08, 3.73929e-08, 
3.6896e-08, 3.64089e-08, 3.59314e-08, 3.54633e-08, 3.50042e-08, 
3.4554e-08, 3.41124e-08, 3.36792e-08, 3.32543e-08, 3.28373e-08, 
3.24281e-08, 3.20265e-08, 3.16324e-08, 3.12454e-08, 3.08655e-08, 
3.04925e-08, 3.01263e-08, 2.97666e-08, 2.94132e-08, 2.90662e-08, 
2.87252e-08, 2.83903e-08, 2.80611e-08, 2.77376e-08, 2.74197e-08, 
2.71072e-08, 2.68001e-08, 2.64981e-08, 2.62012e-08, 2.59093e-08, 
2.56222e-08, 2.53399e-08, 2.50622e-08, 2.4789e-08, 2.45203e-08, 
2.42559e-08, 2.39958e-08, 2.37399e-08, 2.3488e-08, 2.32401e-08, 
2.29961e-08, 2.27559e-08, 2.25195e-08, 2.22868e-08, 2.20576e-08, 
2.18319e-08, 2.16097e-08, 2.13909e-08, 2.11754e-08, 2.09631e-08, 
2.0754e-08, 2.0548e-08, 2.03451e-08, 2.01451e-08, 1.99481e-08, 
1.97539e-08, 1.95626e-08, 1.93741e-08, 1.91882e-08, 1.9005e-08, 
1.88245e-08, 1.86465e-08, 1.8471e-08, 1.82979e-08, 1.81273e-08, 
1.79591e-08, 1.77932e-08, 1.76296e-08, 1.74682e-08, 1.73091e-08, 
1.71521e-08, 1.69972e-08, 1.68444e-08, 1.66937e-08, 1.6545e-08, 
1.63982e-08, 1.62534e-08, 1.61105e-08, 1.59695e-08, 1.58304e-08, 
1.5693e-08, 1.55574e-08, 1.54236e-08, 1.52915e-08, 1.51611e-08, 
1.50323e-08, 1.49052e-08, 1.47797e-08, 1.46557e-08, 1.45333e-08, 
1.44125e-08, 1.42931e-08, 1.41753e-08, 1.40588e-08, 1.39438e-08, 
1.38302e-08, 1.3718e-08, 1.36072e-08, 1.34976e-08, 1.33895e-08, 
1.32826e-08, 1.31769e-08, 1.30726e-08, 1.29694e-08, 1.28675e-08, 
1.27668e-08, 1.26672e-08, 1.25688e-08, 1.24716e-08, 1.23755e-08, 
1.22805e-08, 1.21865e-08, 1.20937e-08, 1.20019e-08, 1.19111e-08, 
1.18214e-08, 1.17327e-08, 1.1645e-08, 1.15582e-08, 1.14725e-08, 
1.13876e-08, 1.13038e-08, 1.12208e-08, 1.11387e-08, 1.10576e-08, 
1.09773e-08, 1.08979e-08, 1.08194e-08, 1.07417e-08, 1.06648e-08, 
1.05888e-08, 1.05135e-08, 1.04391e-08, 1.03655e-08, 1.02926e-08, 
1.02205e-08, 1.01491e-08, 1.00785e-08, 1.00087e-08, 9.93953e-09, 
9.8711e-09, 9.80337e-09, 9.73634e-09, 9.67e-09, 9.60433e-09, 
9.53932e-09, 9.47498e-09, 9.41128e-09, 9.34822e-09, 9.2858e-09, 
9.22399e-09, 9.16281e-09, 9.10223e-09, 9.04224e-09, 8.98285e-09, 
8.92405e-09, 8.86582e-09, 8.80815e-09, 8.75105e-09, 8.6945e-09, 
8.6385e-09, 8.58303e-09, 8.5281e-09, 8.4737e-09, 8.41981e-09, 
8.36643e-09, 8.31357e-09, 8.2612e-09, 8.20932e-09, 8.15793e-09, 
8.10703e-09, 8.05659e-09, 8.00663e-09, 7.95713e-09, 7.90809e-09, 
7.8595e-09, 7.81135e-09, 7.76365e-09, 7.71638e-09, 7.66955e-09, 
7.62314e-09, 7.57714e-09, 7.53157e-09, 7.4864e-09, 7.44164e-09, 
7.39728e-09, 7.35331e-09, 7.30974e-09, 7.26655e-09, 7.22374e-09, 
7.18131e-09, 7.13925e-09, 7.09756e-09, 7.05624e-09, 7.01527e-09, 
6.97466e-09, 6.93441e-09, 6.8945e-09, 6.85493e-09, 6.8157e-09, 
6.77681e-09, 6.73825e-09, 6.70002e-09, 6.66211e-09, 6.62453e-09, 
6.58726e-09, 6.5503e-09, 6.51366e-09, 6.47732e-09, 6.44129e-09, 
6.40555e-09, 6.37011e-09, 6.33497e-09, 6.30011e-09, 6.26554e-09, 
6.23126e-09, 6.19725e-09, 6.16353e-09, 6.13008e-09, 6.0969e-09, 
6.06398e-09, 6.03134e-09, 5.99896e-09, 5.96683e-09, 5.93497e-09, 
5.90336e-09, 5.872e-09, 5.84089e-09, 5.81002e-09, 5.7794e-09, 
5.74903e-09, 5.71889e-09, 5.68899e-09, 5.65932e-09, 5.62988e-09, 
5.60067e-09, 5.57169e-09, 5.54293e-09, 5.5144e-09, 5.48608e-09, 
5.45798e-09, 5.4301e-09, 5.40243e-09, 5.37497e-09, 5.34773e-09, 
5.32068e-09, 5.29384e-09, 5.26721e-09, 5.24077e-09, 5.21454e-09, 
5.1885e-09
